"","value","labl","lga","piped_sewer_system","septic_tank","pit_latrine","open_drain","flushed_elsewhere","ventilated_improved_pit_latrine","pit_latrine_with_slab","open_pit_latrine","composting_toilet","hanging_toilet_latrine","no_facilities"
"71",402,"402. ANAMBRA EAST","Anambra East",0,2,2,0,0,1,5,2,0,0,5
"72",403,"403. ANAMBRA WEST","Anambra West",0,0,0,0,0,0,0,0,0,0,0
"73",404,"404. ANIOCHA","Aniocha",0,0,0,0,0,0,0,0,0,0,0
"74",405,"405. AWKA NORTH","Awka North",0,4,1,0,0,0,1,1,0,0,3
"75",406,"406. AWKA SOUTH","Awka South",0,1,0,0,0,0,0,0,0,0,0
"76",407,"407. AYAMELUM","Ayamelum",0,1,1,0,0,0,3,3,0,0,2
"77",408,"408. DUNUKOFIA","Dunukofia",0,5,1,0,0,0,1,2,0,0,1
"78",409,"409. IDEMILI NORTH","Idemili North",0,0,0,0,0,0,0,0,0,0,0
"79",410,"410. IDEMILI SOUTH","Idemili South",0,0,0,0,0,0,0,0,0,0,0
"80",411,"411. IHIALA","Ihiala",0,0,0,0,0,0,0,0,0,0,0
"81",412,"412. EKWUSIGO","Ekwusigo",0,4,2,0,0,0,1,1,0,0,2
"82",413,"413. NJIKOKA","Njikoka",0,0,0,0,0,0,0,0,0,0,0
"83",414,"414. NNEWI NORTH","Nnewi North",0,0,0,0,0,0,0,0,0,0,0
"84",415,"415. NNEWI SOUTH","Nnewi South",0,0,0,0,0,0,0,0,0,0,0
"85",416,"416. OGBARA","Ogbara",0,12,5,0,0,0,0,2,0,0,1
"86",417,"417. ONITSHA NORTH","Onitsha North",0,15,0,0,0,1,1,0,0,0,1
"87",418,"418. ONITSHA SOUTH","Onitsha South",0,0,0,0,0,0,0,0,0,0,0
"88",419,"419. ORUMBA NORTH","Orumba North",0,7,0,0,0,1,1,0,0,0,1
"89",420,"420. ORUMBA SOUTH","Orumba South",1,2,0,0,0,1,1,2,0,0,3
"90",421,"421. OYI","Oyi",0,1,1,0,0,0,2,4,0,0,1
"91",501,"501. ALKALERI","Alkaleri",0,0,0,0,0,0,0,0,0,0,0
"92",502,"502. BAUCHI","Bauchi",5,3,0,0,0,0,10,2,0,0,0
"93",503,"503. BOGORO","Bogoro",0,0,0,0,0,0,7,1,0,0,2
"94",504,"504. DAMBAM","Dambam",0,0,0,0,0,0,2,13,0,0,5
"95",505,"505. DARAZO","Darazo",0,0,0,0,0,0,5,15,0,0,0
"96",506,"506. DASS","Dass",0,0,0,0,0,0,15,4,0,0,1
"97",507,"507. GAMAWA","Gamawa",0,0,0,0,0,0,1,5,0,0,4
"98",508,"508. GIADE","Giade",0,0,0,0,0,0,11,8,0,0,1
"99",509,"509. GUNJUWA","Gunjuwa",0,0,0,0,0,0,5,5,0,0,0
"100",510,"510. ITAS GADAU","Itas Gadau",0,0,0,0,0,0,0,0,0,0,0
"101",511,"511. JAMARE","Jamare",0,0,0,0,0,0,1,9,0,0,0
"102",512,"512. KATAGUM","Katagum",0,0,0,0,0,0,0,0,0,0,0
"103",513,"513. KIRFI","Kirfi",0,0,0,0,0,0,6,0,0,0,4
"104",514,"514. MISAU","Misau",1,1,0,2,0,0,6,0,0,0,0
"105",515,"515. NINGI","Ningi",0,0,0,0,0,0,0,0,0,0,0
"106",516,"516. SHIRA","Shira",0,0,0,0,0,0,9,1,0,0,0
"107",517,"517. TAFAWA BALEWA","Tafawa Balewa",0,0,0,0,0,0,10,0,0,0,0
"108",518,"518. TORO","Toro",0,0,1,0,0,0,25,8,0,0,5
"109",519,"519. WARJI","Warji",0,0,0,0,0,0,0,0,0,0,0
"110",520,"520. ZAKI","Zaki",0,0,1,0,0,0,1,7,0,0,1
"111",601,"601. BRASS","Brass",0,3,0,0,0,0,0,0,0,16,0
"112",602,"602. EKEREMOR","Ekeremor",0,0,0,0,0,0,0,0,0,5,3
"113",603,"603. KOLOKUMA","Kolokuma",0,0,0,0,0,0,0,0,0,0,0
"114",604,"604. NEMBE","Nembe",2,1,0,0,0,0,0,0,0,7,0
"115",605,"605. OGBIA","Ogbia",2,5,0,0,0,0,0,0,0,0,0
"116",606,"606. SAGBAMA","Sagbama",1,1,0,0,0,0,0,0,0,3,5
"117",607,"607. SOUTHERN IJAW","Southern Ijaw",1,4,0,0,0,0,0,0,0,2,0
"118",608,"608. YENEGOA","Yenegoa",1,2,1,0,0,0,0,0,0,1,10
"119",701,"701. ADOR","Ador",0,2,1,0,1,0,1,4,0,0,1
