value,labl,lga
3408,3408. KARIM LAM,Karim Lam
3409,3409. KURMI,Kurmi
3410,3410. LAU,Lau
3411,3411. SADUANA,Saduana
3412,3412. TAKUM,Takum
3413,3413. USSA,Ussa
3414,3414. WUKARI,Wukari
3415,3415. YORRO,Yorro
3416,3416. ZING,Zing
3501,3501. BARDE,Barde
3502,3502. BURSARI,Bursari
3503,3503. DAMATURU,Damaturu
3504,3504. FIKA,Fika
3505,3505. FUNE,Fune
3506,3506. GEIDAM,Geidam
3507,3507. GUJBA,Gujba
3508,3508. GULANI,Gulani
3509,3509. JAKUSKO,Jakusko
3510,3510. KARASUWA,Karasuwa
3511,3511. MACHINA,Machina
3512,3512. NANGERE,Nangere
3513,3513. NGURU,Nguru
3514,3514. POTISKUM,Potiskum
3515,3515. TARMUWA,Tarmuwa
3516,3516. YUNUSARI,Yunusari
3517,3517. YUSFARI,Yusfari
3601,3601. ANKA,Anka
3602,3602. BAKURA,Bakura
3603,3603. BIRNIN MAGAJI,Birnin Magaji
3604,3604. BUKKUYUM,Bukkuyum
3605,3605. BUNGUDU,Bungudu
3606,3606. GUMMI,Gummi
3607,3607. GUSAU,Gusau
3608,3608. KAURA NAMODA,Kaura Namoda
3609,3609. MARADDUN,Maraddun
3610,3610. MARU,Maru
3611,3611. SHINKAFI,Shinkafi
3612,3612. TALATA MAFARA,Talata Mafara
3613,3613. TSAFE,Tsafe
3614,3614. ZURMI,Zurmi
3701,3701. ABAJI,Abaji
3702,3702. BWARI,Bwari
3703,3703. GWAGWALADA,Gwagwalada
3704,3704. KUJE,Kuje
3705,3705. KWALI,Kwali
3706,3706. ABUJA MUNICIPAL,Abuja Municipal
