value,labl,lga
917,917. YAKURR UGEP NORTH,Yakurr Ugep North
918,918. YALA,Yala
1001,1001. ANIOCHA NORTH,Aniocha North
1002,1002. ANIOCHA SOUTH,Aniocha South
1003,1003. BOMADI,Bomadi
1004,1004. BURUTU,Burutu
1005,1005. ETHIOPE EAST,Ethiope East
1006,1006. ETHIOPE WEST,Ethiope West
1007,1007. IKA NORTH EAST,Ika North East
1008,1008. IKA SOUTH,Ika South
1009,1009. ISOKO NORTH,Isoko North
1010,1010. ISOKO SOUTH,Isoko South
1011,1011. NDOKWA EAST,Ndokwa East
1012,1012. NDOKWA WEST,Ndokwa West
1013,1013. OKPE,Okpe
1014,1014. OSHIMILI NORTH,Oshimili North
1015,1015. OSHIMILI SOUTH,Oshimili South
1016,1016. PATANI,Patani
1017,1017. SAPELE,Sapele
1018,1018. UDU,Udu
1019,1019. UGHELLI NORTH,Ughelli North
1020,1020. UGHELLI SOUTH,Ughelli South
1021,1021. UKWUANI,Ukwuani
1022,1022. UWIE,Uwie
1023,1023. WARRI NORTH,Warri North
1024,1024. WARR  SOUTH WEST,Warr South West
1025,1025. WARR  SOUTH,Warr South
1101,1101. ABAKALIKI,Abakaliki
1102,1102. AFIKPO NORTH,Afikpo North
1103,1103. AFIKPO SOUTH,Afikpo South
1104,1104. EBONYI,Ebonyi
1105,1105. EZZA NORTH,Ezza North
1106,1106. EZZA SOUTH,Ezza South
1107,1107. IKWO,Ikwo
1108,1108. ISHIELU,Ishielu
1109,1109. IVO,Ivo
1110,1110. IZZI,Izzi
1111,1111. OHAOZARA,Ohaozara
1112,1112. OHAUKWU,Ohaukwu
1113,1113. ONICHA,Onicha
1201,1201. AKOKO EDO,Akoko Edo
1202,1202. EGOR,Egor
1203,1203. ESAN NORTH EAST,Esan North East
1204,1204. ESAN CENTRAL,Esan Central
1205,1205. ESAN SOUTH EAST,Esan South East
1206,1206. ESAN WEST,Esan West
1207,1207. ETSAKO CENTRAL,Etsako Central
1208,1208. ETSAKO EAST,Etsako East
1209,1209. ETSAKO WEST,Etsako West
1210,1210. IGUGBEN,Igugben
1211,1211. IKPOBA OKHA,Ikpoba Okha
1212,1212. OREDO,Oredo
1213,1213. ORHIONMWON,Orhionmwon
1214,1214. OVIA NORTH EAST,Ovia North East
1215,1215. OVIA SOUTH WEST,Ovia South West
1216,1216. OWAN EAST,Owan East
1217,1217. OWAN WEST,Owan West
1218,1218. UHUNMUONDE,Uhunmuonde
1301,1301. ADO EKITI,Ado Ekiti
1302,1302. EFON,Efon
1303,1303. EKITI EAST,Ekiti East
1304,1304. EKITI SOUTH WEST,Ekiti South West
1305,1305. EKITI WEST,Ekiti West
1306,1306. EMURE,Emure
1307,1307. GBOYIN,Gboyin
1308,1308. IDO OSI,Ido Osi
1309,1309. IJERO,Ijero
1310,1310. IKARE,Ikare
1311,1311. IKOLE,Ikole
1312,1312. IIEJEMEJE,Iiejemeje
1313,1313. IREPODUN IFELOD,Irepodun Ifelod
1314,1314. ISEORUN,Iseorun
1315,1315. MOBA,Moba
1316,1316. OYE,Oye
1401,1401. ANINRI,Aninri
1402,1402. AWGU,Awgu
1403,1403. ENUGU EAST,Enugu East
1404,1404. ENUGU NORTH,Enugu North
1405,1405. ENUGU SOUTH,Enugu South
1406,1406. EZE AGU,Eze Agu
1407,1407. IGBO ETITI,Igbo Etiti
1408,1408. IGBO EZE NORTH,Igbo Eze North
1409,1409. IGBO EZE SOUTH,Igbo Eze South
